libelle_geographique;code_geographique;region;departement;epci;actifs_occupes_15_ans_ou_plus_en_2018_princ;salaries_15_ans_ou_plus_en_2018_princ;non_salaries_15_ans_ou_plus_en_2018_princ;actifs_occ_15_ans_ou_plus_tp_en_2018_princ;salaries_15_ans_ou_plus_tp_en_2018_princ;salaries_15_ans_ou_plus_tp_hommes_en_2018_princ;salaries_15_ans_ou_plus_tp_femmes_en_2018_princ;non_salaries_15_ans_ou_plus_tp_en_2018_princ;actifs_occupes_15_ans_ou_plus_hommes_en_2018_princ;salaries_15_ans_ou_plus_hommes_en_2018_princ;salaries_15_ans_ou_plus_hommes_fonct_publ_cdi_en_2018_princ;salaries_15_ans_ou_plus_hommes_cdd_en_2018_princ;salaries_15_ans_ou_plus_hommes_interim_en_2018_princ;salaries_15_ans_ou_plus_hommes_emplois_aides_en_2018_princ;salaries_15_ans_ou_plus_hommes_apprentissage_stage_en_2018_princ;non_salaries_15_ans_ou_plus_hommes_en_2018_princ;non_salaries_15_ans_ou_plus_hommes_independants_en_2018_princ;non_salaries_15_ans_ou_plus_hommes_employeurs_en_2018_princ;non_salaries_15_ans_ou_plus_hommes_aides_familiaux_en_2018_princ;actifs_occupes_15_ans_ou_plus_femmes_en_2018_princ;salaries_15_ans_ou_plus_femmes_en_2018_princ;salaries_15_ans_ou_plus_femmes_fonct_publ_cdi_en_2018_princ;salaries_15_ans_ou_plus_femmes_cdd_en_2018_princ;salaries_15_ans_ou_plus_femmes_interim_en_2018_princ;salaries_15_ans_ou_plus_femmes_emplois_aides_en_2018_princ;salaries_15_ans_ou_plus_femmes_apprentissage_stage_en_2018_princ;non_salaries_15_ans_ou_plus_femmes_en_2018_princ;non_salaries_15_ans_ou_plus_femmes_independantes_en_2018_princ;non_salaries_15_ans_ou_plus_femmes_employeurs_en_2018_princ;non_salaries_15_ans_ou_plus_femmes_aides_familiales_en_2018_princ;salaries_15_64_ans_hommes_en_2018_princ;salaries_15_24_ans_hommes_en_2018_princ;salaries_25_54_ans_hommes_en_2018_princ;salaries_55_64_ans_hommes_en_2018_princ;salaries_15_64_ans_hommes_tp_en_2018_princ;salaries_15_24_ans_hommes_tp_en_2018_princ;salaries_25_54_ans_hommes_tp_en_2018_princ;salaries_55_64_ans_hommes_tp_en_2018_princ;salaries_15_64_ans_femmes_en_2018_princ;salaries_15_24_ans_femmes_en_2018_princ;salaries_25_54_ans_femmes_en_2018_princ;salaries_55_64_ans_femmes_en_2018_princ;salaries_15_64_ans_femmes_tp_en_2018_princ;salaries_15_24_ans_femmes_tp_en_2018_princ;salaries_25_54_ans_femmes_tp_en_2018_princ;salaries_55_64_ans_femmes_tp_en_2018_princ;actifs_occ_15_ans_ou_plus_travaillent_commune_residence_en_2018_princ;actifs_occ_15_ans_ou_plus_travaillent_autre_commune_que_commune_residence_en_2018_princ;actifs_occ_15_ans_ou_plus_travaillent_autre_commune_meme_dept_residence_en_2018_princ;actifs_occ_15_ans_ou_plus_travaillent_autre_dept_meme_region_residence_en_2018_princ;actifs_occ_15_ans_ou_plus_travaillent_autre_region_en_metropole_en_2018_princ;actifs_occ_15_ans_ou_plus_travaillent_autre_region_hors_metropole_en_2018_princ;actifs_occ_15_ans_ou_plus_pas_de_transport_pour_travail_en_2018_princ;actifs_occ_15_ans_ou_plus_marche_a_pied_pour_travail_en_2018_princ;actifs_occ_15_ans_ou_plus_velo_en_2018_princ;actifs_occ_15_ans_ou_plus_deux_roues_motorise_en_2018_princ;actifs_occ_15_ans_ou_plus_voiture_en_2018_princ;actifs_occ_15_ans_ou_plus_transport_en_commun_en_2018_princ;salaries_15_ans_ou_plus_fonct_publ_cdi_en_2018_princ;salaries_15_ans_ou_plus_cdd_en_2018_princ;salaries_15_ans_ou_plus_interim_en_2018_princ;salaries_15_ans_ou_plus_emplois_aides_en_2018_princ;salaries_15_ans_ou_plus_apprentissage_stage_en_2018_princ;non_salaries_15_ans_ou_plus_independants_en_2018_princ;non_salaries_15_ans_ou_plus_employeurs_en_2018_princ;non_salaries_15_ans_ou_plus_aides_familiaux_en_2018_princ
Allauch;13002;93;13;Métropole Aix-Marseille-Provence;9015.35033155187;7530.04315365038;1485.30717790149;1241.22105735763;1083.43336509462;275.852627855552;807.580737239066;157.787692263015;4546.40290590218;3618.28495727428;3184.46101049106;213.777434562346;34.7262415407363;6.08942593242058;179.230844747719;928.117948627893;486.031844370275;442.086104257618;0.0;4468.9474256497;3911.7581963761;3516.65448026644;250.500011463398;23.1786014694834;41.9536809048619;79.4714222719164;557.189229273598;396.476925110175;153.586985221837;7.12531894158532;3580.1512669364;359.747271517357;2507.00330151231;713.400693906727;253.000271731681;135.111006279217;84.1754829631116;33.7137824893533;3866.33435243106;250.877661145437;2800.29169430514;815.164996980478;792.920091445751;73.828308399396;557.111276169819;161.980506876536;1836.47409168983;7178.87623986204;6881.99455083415;119.336508792652;158.815171874714;18.730008360529;163.72070561583;169.144660547471;45.1913789171998;550.181337265524;7234.65455704256;852.457692163289;6701.1154907575;464.277446025744;57.90484301021969;48.04310683728248;258.7022670196354;882.5087694804499;595.673089479455;7.12531894158532
Aubagne;13005;93;13;Métropole Aix-Marseille-Provence;18219.0616256506;16117.0749446923;2101.98668095832;3044.32132892451;2755.91604057304;659.116092572516;2096.79994800053;288.405288351463;9446.58981339204;8161.22790748854;6686.19232515079;1037.29700945325;208.025662441145;55.1677503307051;174.545160112646;1285.3619059035;704.539115880368;575.748806261687;5.0739837614461;8772.4718122586;7955.84703720379;6662.80884589509;883.429634275199;118.507742150059;115.726431735534;175.374383147903;816.624775054817;597.289579874575;201.131665101595;18.2035300786469;8079.78135605604;846.00745492158;6259.70411257759;974.069788556867;639.411805236165;172.791024608264;376.522383178278;90.0983974496226;7868.24369117497;654.405937444987;5954.78980804519;1259.04794568479;2045.96085518965;240.899172597824;1439.98116406462;365.08051852721;8757.58155765542;9461.48006799522;8824.21316001885;400.078251538695;211.420298612627;25.7683578250502;703.132624339159;1197.26914737536;180.780896230099;584.904736612384;12981.3815097095;2571.59271138411;13349.001171045878;1920.7266437284488;326.533404591204;170.8941820662391;349.91954326054895;1301.828695754943;776.880471363282;23.277513840093
Berre-l'Étang;13014;93;13;Métropole Aix-Marseille-Provence;5100.80787776731;4624.49531698714;476.312560780169;866.410864294833;821.356932193948;149.679986565233;671.676945628715;45.0539321008849;2766.06639330464;2452.37564402409;1999.3516000358;234.032974942425;160.232817268046;11.1131496894747;47.6451020883487;313.690749280547;160.857413692836;152.833335587712;0.0;2334.74148446267;2172.11967296305;1714.15202178599;334.450674851731;38.9816956593972;42.282457085506;42.2528235804166;162.621811499622;114.068711212772;41.7896896686711;6.76341061817845;2433.39520336685;293.360700347554;1764.56763727012;375.466865749183;144.036037084504;63.7291449725452;69.371477797262;10.935414314697;2145.91172114124;207.982197615768;1636.7691921495;301.16033137597;655.195851232877;82.4539856270948;459.480185065977;113.261680539805;1715.72801054376;3385.07986722355;3252.62249906056;51.4448515726252;78.0304708403121;2.98204575005051;141.47846092456;211.401543413887;71.4010701103496;43.6040955966459;4490.36376012869;142.558947593168;3713.50362182179;568.483649794156;199.2145129274432;53.395606774980706;89.89792566876531;274.926124905608;194.62302525638313;6.76341061817845
La Bouilladisse;13016;93;13;Métropole Aix-Marseille-Provence;2550.0;2124.0;426.0;439.0;385.0;70.0;315.0;54.0;1304.0;1035.0;944.0;48.0;10.0;0.0;33.0;269.0;140.0;128.0;1.0;1246.0;1089.0;988.0;83.0;5.0;0.0;13.0;157.0;106.0;50.0;1.0;1024.0;105.0;769.0;150.0;63.0;28.0;26.0;9.0;1080.0;61.0;836.0;183.0;312.0;28.0;237.0;47.0;399.0;2151.0;2053.0;81.0;16.0;1.0;65.0;53.0;4.0;47.0;2296.0;85.0;1932.0;131.0;15.0;0.0;46.0;246.0;178.0;2.0
Cassis;13022;93;13;Métropole Aix-Marseille-Provence;2718.58897428793;1917.73899830906;800.849975978878;478.666723855791;364.698456271079;83.9220879487426;280.776368322336;113.968267584712;1363.43878778341;869.267059123396;767.731693457016;75.6334866698545;7.25252611902714;2.07215031972204;16.5772025577763;494.171728660016;224.828309689841;265.19911833073;4.14430063944408;1355.15018650452;1048.47193918566;918.962544203034;96.3549898670749;5.1803757993051;3.10822547958306;24.8658038366645;306.678247318862;198.926430693316;107.751816625546;0.0;846.473405606453;47.6594573536069;606.103968518697;192.70997973415;73.5613363501324;11.3968267584712;42.4790815543018;19.6854280373594;1008.06500795108;59.0562841120781;692.062084193471;256.946639645533;254.874489325811;18.6493528774984;170.952401377068;65.2727350712443;1206.95531605071;1511.63365823723;1329.28443010169;100.499290506519;68.3809605508273;13.4689770781933;129.437149795246;347.085178553442;11.3968267584712;159.555574618597;1882.54856546747;188.565679094706;1686.69423766005;171.9884765369294;12.43290191833224;5.1803757993051;41.4430063944408;423.754740383157;372.950934956276;4.14430063944408
Cornillon-Confoux;13029;93;13;Métropole Aix-Marseille-Provence;613.815854344236;482.102268064029;131.713586280207;104.741381304908;95.6753010283221;22.0360241694331;73.6392768588889;9.06608027658618;334.385486878905;246.575916714088;219.581530800217;13.0284922006839;9.99098116863327;0.0;3.97491254455434;87.8095701648162;47.9402738460319;39.8692963187844;0.0;279.430367465331;235.52635134994;209.49309254221;17.0274126892108;2.01714644529576;4.01042781204273;2.97827186118086;43.9040161153907;27.0070243489805;16.8969917664102;0.0;239.563634312651;12.8635392655492;181.420126432525;45.279968614577;16.0323149906434;3.92858081658289;7.08444909877881;5.01928507528172;231.491915593925;8.97018967586357;180.220457760937;42.301268157125;71.6221304135932;2.96633932190646;52.5662068209945;16.0895842706922;117.711348602085;496.104505742151;462.025534605105;13.0525001446564;19.04498098975;1.98149000263998;33.8300685119912;12.0317086518867;0.0;4.97155322792783;543.119329048266;19.8631949041645;429.074623342427;30.0559048898947;12.00812761392903;4.01042781204273;6.9531844057352;74.9472981950124;56.7662880851946;0.0
Cuges-les-Pins;13030;93;13;Métropole Aix-Marseille-Provence;2274.79046829125;1961.75368056976;313.036787721485;342.425337057435;314.06251459107;60.7796186329435;253.282895958127;28.3628224663646;1162.16651232634;967.688800966622;867.392620938764;68.8928960274787;18.2387177307168;0.0;13.1645662696627;194.477711359722;108.38650420583;82.0359192509559;4.05528790293636;1112.62395596491;994.064879603143;870.449116535412;92.2003692408644;7.09978485898348;11.1429718612545;13.1726371066281;118.559076361763;78.0142360146184;37.508416011804;3.03642433534039;962.614642354016;80.035860789302;745.680036001065;136.898745563648;60.7796186329435;20.2495557908765;31.4153956106041;9.11466723146292;986.952968840296;66.8672608482122;788.216740374255;131.868967617829;249.219524715443;27.3332150083247;181.309168179445;40.5771415276734;547.117157750777;1727.67331054047;1583.82140683262;123.579490677545;16.2211587561886;4.05125427412032;73.977791381381;82.0695489349727;6.07822684717456;35.4518652517782;1971.8117423887;105.401293487242;1737.8417374741762;161.0932652683431;25.33850258970028;11.1429718612545;26.3372033762908;186.4007402204484;119.5443352627599;7.091712238276751
La Destrousse;13031;93;13;Métropole Aix-Marseille-Provence;1471.77837441467;1259.68469904944;212.093675365231;228.301979417869;191.642530050901;27.9554275937999;163.687102457101;36.6594493669681;753.500918353193;625.413556934102;555.571244888832;37.6357450872334;11.8256771296864;1.07267091267738;19.3082189156732;128.087361419091;75.3243694774169;51.6815434098366;1.08144853183745;718.277456061481;634.271142115341;566.416317237727;47.3906812853388;3.23994784412106;2.16291502031877;15.0612807278348;84.0063139461403;64.6367587799084;19.3695551662319;0.0;622.16921133859;65.5518067220107;465.933635156962;90.6837694596174;25.792530530125;12.8633802710814;8.61647785108068;4.3126724079629;629.93651657192;39.8337343072814;501.493954548193;88.6088277164464;161.519789685391;16.1646108603425;112.933586003396;32.4215928216528;297.11180596068;1174.66656845399;1124.08855167923;37.6577158154142;11.8432501789046;1.07705078044616;36.60708694901;35.5255317678872;4.29946126986959;34.4220765221525;1298.54220917213;62.3820087336206;1121.987562126559;85.0264263725722;15.06562497380746;3.23558593299615;34.369499643508;139.9611282573253;71.0510985760685;1.08144853183745
Éguilles;13032;93;13;Métropole Aix-Marseille-Provence;3455.63602634723;2787.11701682969;668.519009517539;557.197589189306;441.655751016303;95.2564708368252;346.399280179478;115.541838173003;1743.25509674486;1355.32718592591;1202.38983298745;96.2241350933002;19.2385007201496;9.12337553735819;28.351341587649;387.927910818952;205.663187015492;180.236431419461;2.02829238399979;1712.38092960237;1431.78983090378;1275.68471660467;119.66172753465;8.10789532587385;8.10526165393389;20.2302297846546;280.591098698587;191.438084801646;87.1247215129411;2.02829238399979;1341.1132822405;93.1698690790861;1010.58236838952;237.361044771899;87.1300917257529;24.2920819143886;43.578378079991;19.2596317313734;1420.61704552529;86.1359669166678;1082.73987804381;251.741200564808;340.303833990591;41.5079926165115;217.613845186463;81.1819961876162;1324.18272570535;2131.45330064188;1970.41856691312;66.8652417570675;76.9672121521454;17.2022798195464;191.354395089798;128.677156318481;8.12375920742509;73.9761545321215;2917.74031901412;135.764242185284;2478.07454959212;215.8858626279502;27.34639604602345;17.22863719129208;48.5815713723036;397.101271817138;267.3611529324021;4.05658476799958
La Fare-les-Oliviers;13037;93;13;Métropole Aix-Marseille-Provence;3948.0;3518.0;430.0;557.0;503.0;100.0;403.0;54.0;2020.0;1760.0;1588.0;87.0;31.0;5.0;49.0;260.0;143.0;115.0;2.0;1928.0;1758.0;1535.0;160.0;16.0;14.0;33.0;170.0;119.0;49.0;2.0;1751.0;137.0;1398.0;216.0;97.0;40.0;41.0;16.0;1745.0;130.0;1385.0;230.0;397.0;41.0;280.0;76.0;636.0;3312.0;3191.0;60.0;58.0;3.0;99.0;111.0;14.0;56.0;3543.0;125.0;3123.0;247.0;47.0;19.0;82.0;262.0;164.0;4.0
Fos-sur-Mer;13039;93;13;Métropole Aix-Marseille-Provence;6490.29413700551;6038.39321703207;451.900919973433;1075.88060451918;1021.09958496856;166.851974733415;854.24761023514;54.7810195506257;3466.70526706967;3199.15505244916;2706.77034179032;192.007604227659;170.006986178451;22.720960220701;107.649160032022;267.550214620512;134.57052565413;132.979688966382;0.0;3023.58886993583;2839.23816458291;2347.43928200478;320.150972431071;47.2858815308136;33.6087042486773;90.7533243675744;184.350705352921;139.811173813448;41.6771825777794;2.86234896169391;3183.55106686822;388.462658406268;2359.71016107363;435.378247388324;159.359958614648;67.4157720035385;70.2123375812489;21.7318490298606;2813.24128425535;235.206757330163;2137.70060961656;440.33391730862;835.714843278472;113.075225402127;581.181523699291;141.458094177053;3047.4708074559;3442.82332954961;3317.94306517757;33.8252415136147;82.7268942944429;8.32812856398139;117.407934647209;197.05869919884;27.2971174488638;62.7026260322147;5942.70052831965;143.127231358728;5054.2096237951;512.15857665873;217.2928677092646;56.3296644693783;198.4024843995964;274.38169946757796;174.65687154416142;2.86234896169391
Lançon-Provence;13051;93;13;Métropole Aix-Marseille-Provence;4164.80090179343;3558.55844958063;606.242452212797;667.326243156057;581.262460209314;90.8715483159015;490.390911893412;86.0637829467428;2199.57858692549;1839.36286422394;1664.02080995869;79.1370373322135;39.205202405288;7.94389605456624;49.0559184731841;360.215722701552;188.622414304402;170.637578978296;0.955729418852972;1965.22231486794;1719.19558535669;1506.51273391557;138.941011791499;15.9200844033599;32.0774799589778;25.7442752872904;246.026729511245;171.878925990809;70.1455053107262;4.00229820971031;1826.21902822843;139.896714805043;1427.29319117912;259.029122244264;83.8071063494084;23.6953248126434;38.0531465551926;22.0586349815724;1705.94382505289;102.105953358691;1379.27457288544;224.563298808765;486.312320770959;35.7801706044134;370.862964185396;79.6691859811493;957.299080902836;3207.50182089059;3043.79023744934;75.6493420157478;77.0568975700012;11.0053438555027;154.665029724202;89.3559688915677;7.92923849460936;44.99479226805;3711.21417243506;156.641699979943;3170.53354387426;218.0780491237125;55.1252868086479;40.021376013544035;74.8001937604745;360.501340295211;240.7830842890222;4.958027628563282
Meyreuil;13060;93;13;Métropole Aix-Marseille-Provence;2708.0;2226.0;482.0;424.0;361.0;66.0;295.0;63.0;1386.0;1066.0;975.0;46.0;14.0;2.0;29.0;320.0;158.0;161.0;1.0;1322.0;1160.0;1008.0;112.0;12.0;7.0;21.0;162.0;119.0;39.0;4.0;1051.0;72.0;835.0;144.0;55.0;13.0;29.0;13.0;1149.0;93.0;862.0;194.0;290.0;40.0;178.0;72.0;525.0;2183.0;2077.0;57.0;44.0;5.0;86.0;46.0;14.0;41.0;2423.0;98.0;1983.0;158.0;26.0;9.0;50.0;277.0;200.0;5.0
Pélissanne;13069;93;13;Métropole Aix-Marseille-Provence;4444.25879672181;3820.25085739472;624.007939327081;714.496526679247;618.024010135289;116.138425592477;501.885584542812;96.4725165439576;2270.32596018136;1898.32429541019;1708.37916620848;81.6952972414996;36.4113071138903;7.87271505165196;63.9658097946722;372.001664771166;209.626916830844;160.406569177409;1.96817876291299;2173.93283654045;1921.92656198453;1683.77693167206;170.247462991974;24.6022345364124;10.8249831960214;32.4749495880643;252.006274555916;198.865447957265;49.2044690728248;3.93635752582598;1888.48340159562;180.088356806539;1378.70922342055;329.685821368536;110.233889303738;35.4272177324338;42.3158434026293;32.4908281686749;1908.14931064414;129.899798352257;1417.08870929735;361.160802994534;493.028780109704;41.3317540211728;336.558568458121;115.13845763041;842.459903429812;3601.79889329199;3300.66754256631;177.136088662169;114.154368248953;9.84089381456495;150.565675362844;118.090725774779;65.9339885575852;49.2044690728248;3861.67788289956;198.786055054212;3392.15609788054;251.94276023347362;61.0135416503027;18.697698247673358;96.4407593827365;408.492364788109;209.6110382502338;5.904536288738971
Les Pennes-Mirabeau;13071;93;13;Métropole Aix-Marseille-Provence;8779.82045850747;7674.32690109324;1105.49355741422;1334.99114549828;1196.28229152285;251.296107817485;944.986183705365;138.708853975433;4356.91785206052;3666.48687146481;3226.97367403854;195.232584909101;82.367580681679;10.9092573021845;151.003774533308;690.430980595709;375.847740007574;313.630102620745;0.953137967389617;4422.90260644694;4007.84002962843;3594.58948542747;287.397997991001;38.1034416203607;33.2503247132175;54.4987798763775;415.062576818515;304.968987417177;103.77803927617;6.3155501251668;3608.71294730615;361.820172778577;2706.63000394141;540.262770586162;233.853926675132;84.8999169671033;114.82892182156;34.1250878864691;3960.15104446874;264.87061693651;3063.68715434476;631.593273187464;909.151035509017;68.6652086272167;661.95658814755;178.52923873425;1772.00006740405;7007.82039110342;6851.47696683838;66.4752922923501;87.7956588293431;2.07247314334797;202.921874659832;112.876628759191;6.68057720501214;194.295628118299;7940.50049138398;322.545258381153;6821.56315946601;482.630582900102;120.4710223020397;44.159582015402;205.5025544096855;680.816727424751;417.408141896915;7.268688092556417
Peyrolles-en-Provence;13074;93;13;Métropole Aix-Marseille-Provence;2217.83610566314;1940.75391766802;277.082187995115;394.561950824796;357.322001351491;68.3811810942232;288.940820257268;37.2399494733045;1143.91200237594;980.312430980943;865.723363786232;64.3503964701247;17.0289642603098;13.1391262094411;20.0705802548356;163.599571395001;93.348915443042;68.2228438163978;2.02781213556164;1073.92410328719;960.441486687079;827.867849275848;90.4380230769107;7.00595562503475;17.0868889118434;18.0427697974412;113.482616600114;83.389092115835;29.087976056635;1.00554842764373;974.254102506886;87.3054002220562;754.867503930765;132.081198354065;66.3534378519618;19.9633963771945;33.2758170836206;13.1142243911467;954.35805084596;73.3590551808494;726.321845226406;154.677150438705;287.943526695378;32.0881099298918;211.369228359363;44.4861884061227;671.96697528206;1545.86913038108;1335.98785570079;168.634351888348;40.2413743642959;1.00554842764373;80.2413855337553;165.898032061965;25.106782242008;17.0786995645221;1779.75911701147;149.752089249411;1693.59121306208;154.7884195470354;24.03491988534455;30.226015121284497;38.1133500522768;176.738007558877;97.3108198730328;3.0333605632053704
Plan-de-Cuques;13075;93;13;Métropole Aix-Marseille-Provence;4229.86140435313;3551.10287061616;678.758533736969;652.038128355979;557.782638786642;120.543372501173;437.239266285469;94.2554895693368;2139.04736609787;1726.85830309896;1555.26247068128;87.2709127490974;12.7032161100948;5.5248492243484;66.0968543341347;412.189062998908;204.52079777191;203.025684488095;4.64258073890278;2090.81403825527;1824.2445675172;1664.3217794846;129.789661325448;2.81249466327299;5.71492987319177;21.6057021706896;266.569470738062;211.489050185194;49.2589943173676;5.8214262354996;1711.93434816082;151.330305497702;1279.54174941929;281.062293243832;111.033700898496;46.1716128247954;49.1090555383522;15.7530325353486;1793.30577802945;90.3273590175933;1425.51643696232;277.461982049537;422.015067848524;40.9828191435928;303.860134382201;77.1721143227298;820.754958666463;3409.10644568667;3312.1344540757;41.6942572676489;55.2777343433187;0.0;124.99506538641;165.143359191641;14.274746770443;231.729806560275;3183.71268575979;510.00574068457;3219.58425016588;217.0605740745454;15.51571077336779;11.23977909754017;87.7025565048243;416.009847957104;252.28467880546262;10.46400697440238
Port-Saint-Louis-du-Rhône;13078;93;13;Métropole Aix-Marseille-Provence;2972.63460386252;2752.13811916303;220.496484699492;523.192530961844;495.230621406721;87.0354915063978;408.195129900323;27.9619095551237;1632.77617119877;1522.11650677586;1298.11781258565;85.9908924602863;102.054340495451;14.0635044493629;21.8899567851096;110.659664422918;57.7835842517138;49.8430286507307;3.03305152047344;1339.85843266375;1230.02161238718;933.136260789431;189.409465694695;36.9162898069249;46.8892039388186;23.6703921573077;109.836820276574;75.7227861148676;31.0933572861673;3.02067687553911;1514.07329419833;155.789125119361;1200.74174457229;157.542424506677;85.0217069227051;26.8466229321243;46.1031166533138;12.071967337267;1227.99545315855;143.711791341791;902.114083965744;182.169577851015;407.188237608477;57.9772436008571;292.994225209992;56.2167687976279;1898.69000745323;1073.94459640929;1035.08742680703;8.00653935440067;28.8368456641699;2.01378458369274;67.9466680080734;207.203900628614;58.9119948377681;26.1683236673531;2572.40517364005;39.9985430806627;2231.254073375081;275.4003581549813;138.9706303023759;60.952708388181506;45.5603489424173;133.5063703665814;80.936385936898;6.05372839601255
Puyloubier;13079;93;13;Métropole Aix-Marseille-Provence;742.041611048645;557.223300715403;184.818310333242;134.340892030734;107.146520499217;19.0112571017989;88.1352633974176;27.1943715315179;376.610162416484;270.865984837147;237.834409995106;11.968214550731;8.04372957247407;3.06653363391878;9.9530970849177;105.744177579337;53.8969563876644;51.8472211916725;0.0;365.431448632161;286.357315878256;242.212020381508;33.0836727997691;1.0341522996385;3.06653363391878;6.96093676342095;79.0741327539054;58.0481332418098;20.0274585115643;0.998541000531249;261.701683268609;20.7995133553855;193.295709708132;47.6064602050913;14.9641440998473;4.94097686866131;9.00697656404582;1.01619066714014;283.308431910946;18.963224363171;212.551050102906;51.7941574448691;85.0863794301077;4.97566843109236;62.8521834265735;17.2585275724419;218.042842341101;523.998768707544;473.115724892636;29.0155483821773;17.9077164455142;3.95977898721645;47.9920927153517;33.2574370669727;0.998541000531249;9.00696582142058;613.655835757866;37.1307386865029;480.046430376614;45.051887350500095;9.07788187211257;6.13306726783756;16.914033848338647;111.94508962947421;71.87467970323681;0.998541000531249
